School Name,address,postal_code,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,Latitude,Longitude,Full Address
DE LA SALLE SCHOOL,11 Choa Chu Kang St 52   ,689285,67622075,na,DLSS@MOE.EDU.SG,YEW TEE MRT,"TIBS 302, 979",MADAM CHERYL CHOO SHUEH-LI,MISS CECILIA TAN LI HUA,MISS LIU JIAZHEN ADELINE,na,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.3947078296399,103.743201812831,11 CHOA CHU KANG STREET 52 DE LA SALLE SCHOOL SINGAPORE 689285
DEYI SECONDARY SCHOOL,1 ANG MO KIO STREET 42   ,569277,64583364,na,DEYI_SS@MOE.EDU.SG,ANG MO KIO MRT,"22, 24, 25, 45, 50, 55, 73, 74, 76, 88, 132, 135, 159, 162, 165, 261, 262, 268, 652, 853",MR CHOW WEISI,MR APOLLOS INDUCHOODAN PILLAI,MISS CHIANG HUIMIN,na,na,na,na,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.36599702567717,103.852545772422,1 ANG MO KIO STREET 42 DEYI SECONDARY SCHOOL SINGAPORE 569277
DUNEARN SECONDARY SCHOOL,21 BUKIT BATOK WEST AVENUE 2   ,659204,65668650,na,DUNEARN_SS@MOE.EDU.SG,"BUKIT BATOK MRT, BUKIT GOMBAK MRT","160, 180, 187, 188, 945, 947, 985",MADAM SOH BENG MUI,MR LEE KAH SIONG JIMMY,YAP KWEE CHYE,na,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.36357900792871,103.74472109107,21 BUKIT BATOK WEST AVENUE 2 DUNEARN SECONDARY SCHOOL SINGAPORE 659204
DUNMAN HIGH SCHOOL,10 TANJONG RHU ROAD   ,436895,63442316,na,DHS@MOE.EDU.SG,"KATONG PARK MRT,ALJUNIED MRT, KALLANG MRT, MOUNTBATTEN MRT,","12, 14, 30, 158, 196",MR CHAN YING YIN,MADAM LEONG SOOK HING,MR MELVIN NG YONG HUI,MR PUAH YOU KAI,MR ONG QIU JIE,na,na,KALLANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVEL (S1-JC2),Yes,Yes,Yes,Yes,CHINESE,na,na,1.29996216014962,103.88294155989,10 TANJONG RHU ROAD DUNMAN HIGH SCHOOL SINGAPORE 436895
DUNMAN SECONDARY SCHOOL,21 TAMPINES STREET 45   ,529093,67842164,na,DUNMAN_SS@MOE.EDU.SG,TAMPINES EAST MRT,"28, 29, 293",MR TOH THIAM CHYE,MR FATHUL RAHMAN BIN KAMSANI,MISS PRIYA PRASAD,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL,1.36065258337022,103.956213906966,21 TAMPINES STREET 45 DUNMAN SECONDARY SCHOOL SINGAPORE 529093
EAST SPRING PRIMARY SCHOOL,31 TAMPINES ST 33   ,529258,67866649,na,ESPS@MOE.EDU.SG,Tampines,"291, 28,18",MADAM NEO LAY WAH,MADAM FAZILAH MARICAR D/O MD ALI M,MS NG HUI ENG,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.35268400746357,103.961676849165,31 TAMPINES STREET 33 EAST SPRING PRIMARY SCHOOL SINGAPORE 529258
EAST SPRING SECONDARY SCHOOL,30 TAMPINES STREET 34   ,529231,65873804,na,ESSS@MOE.EDU.SG,"TAMPINES MRT, TAMPINES EAST MRT","3, 4, 9, 12, 17, 18, 19, 21, 28, 29, 34, 37, 39, 59, 81, 291, 518",MISS HO SUSIE,MR LIM PIA LEONG,MR KOH CHEE HUI,MR PHAY CHYE HOCK ADRIAN,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.35622508992581,103.960640700298,30 TAMPINES STREET 34 EAST SPRING SECONDARY SCHOOL SINGAPORE 529231
EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS   ,828869,63126093,na,edgefield_ps@moe.edu.sg,Punggol MRT,"3, 34, 62, 82, 83, 136",MADAM RABIATHUL BAZRIYA D/O ABU BAKAR,MR YAP LIH MIN SAMUEL,MS TAN PEY SAN,TEH CHONG ANN,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.40009139510996,103.907847599114,41 EDGEFIELD PLAINS EDGEFIELD PRIMARY SCHOOL SINGAPORE 828869
EDGEFIELD SECONDARY SCHOOL,36 PUNGGOL FIELD   ,828814,63153120,na,edgefield_ss@moe.edu.sg,PUNGGOL MRT,"3, 34, 62, 82, 83, 119, 136, 381, 382G",MR FOO JUNG HIN SIMON,MR BENSON TEO HONG GUAN (ZHANG HONGYUAN),MR HOW PUI SENG,na,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.40059309981824,103.902687385465,36 PUNGGOL FIELD EDGEFIELD SECONDARY SCHOOL SINGAPORE 828814
ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52   ,518866,65844392,na,EPPS@MOE.EDU.SG,Pasir Ris MRT,"3, 15, 39, 53, 81, 88, 89, 357, 403, 518",MADAM CHUA PEI PEI,MR HO FU CHEW,PEH BEE KUAN,na,na,na,na,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.37505696315817,103.945289416873,11 PASIR RIS STREET 52 AFTERSCHOOL @ ELIAS PARK PRIMARY SCHOOL SINGAPORE 518866
ENDEAVOUR PRIMARY SCHOOL,10 Admiralty Link   ,757521,64824670,na,endeavour_ps@moe.edu.sg,Sembawang MRT Station,"859, 962",MR KOH KIAN SENG THOMAS,MADAM CHUA HUI PIN,MISS FAUZIAH DAUD,MISS CELESTE LOH SHI MIN,na,na,na,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.45403837499301,103.817436231731,10 ADMIRALTY LINK ENDEAVOUR PRIMARY SCHOOL SINGAPORE 757521
EUNOIA JUNIOR COLLEGE,2 Sin Ming Place   ,573838,63518399,na,eunoiajc@moe.edu.sg,"Bishan MRT Station, Marymount MRT Station, Ang Mo Kio MRT Station, Bright Hill MRT Station","13, 52, 74, 88, 130, 410G, 410W, 851, 852",MR TAN ENG HIAN ANDREW,MDM NEW YI CHEEN,MADAM PHUA KIA LING,na,na,na,na,BISHAN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,Yes,CHINESE,MALAY,TAMIL,1.36213757183547,103.841286169122,2 SIN MING PLACE EUNOIA JUNIOR COLLEGE SINGAPORE 573838
EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE   ,738908,63688084,na,EVERGREEN_PS@MOE.EDU.SG,Admiralty,"913(front), 911 & 858(back)",MR JEFFREY AW,MR BOH CHUAN XIANG,MADAM ONG HWEE LENG,MR CHENG YOU NENG,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.44415332824735,103.794577787757,31 WOODLANDS CIRCLE EVERGREEN PRIMARY SCHOOL SINGAPORE 738908
EVERGREEN SECONDARY SCHOOL,11 WOODLANDS STREET 83   ,738489,63658083,na,EVERGREEN_SS@MOE.EDU.SG,WOODLANDS MRT,911,MS BIAN YU WEI,MR LIM KANGYU,MADAM TAY CHOR HWEE,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.44149131273737,103.794137756171,11 WOODLANDS STREET 83 EVERGREEN SECONDARY SCHOOL SINGAPORE 738489
FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD   ,139648,67762948,na,FMPS@MOE.EDU.SG,"One-North MRT, Buona Vista MRT & Dover MRT","SBS Bus 14,33,74,166 & 196",MADAM WONG MEI FOONG,MR HO KOK SOON,MADAM QUEK TSUI LAN PRISCA,MR KNG WEE BENG,na,na,na,QUEENSTOWN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.30100441916733,103.785455606827,100 DOVER ROAD COMMIT LEARNING SCHOOLHOUSE @ FAIRFIELD METHODIST SCHOOL (PRIMARY) SINGAPORE 139648
FAIRFIELD METHODIST SCHOOL (SECONDARY),102 DOVER ROAD   ,139649,67797482,na,FMSS@MOE.EDU.SG,"BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196",MR WEE TAT CHUEN,MR JEROMY NGIAN KUN CHUAN,MISS STELLA KOH LI HUI,MADAM CHUA JIAYIN,na,na,na,QUEENSTOWN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL,1.30163374395823,103.784099647149,102 DOVER ROAD FAIRFIELD METHODIST SCHOOL (SECONDARY) SINGAPORE 139649
FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD   ,217567,62942272,na,FPPS@MOE.EDU.SG,Farrer Park MRT Station,131,"MR YAP SWEE BENG, DENNIS",MADAM RAHIMA BTE ABDUL RAHMAN,MR YONG WEI LEONG,na,na,na,na,KALLANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.31236867681371,103.850766402965,2 FARRER PARK ROAD FARRER PARK PRIMARY SCHOOL SINGAPORE 217567
FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD   ,469680,65860122,na,FSPS@MOE.EDU.SG,Bedok MRT,"18, 228, 222, 17, 69, 66, 67, 168, 28, 506, 14, 45",MISS WONG LIANG- JI TABITHA,MADAM LAI KAI CHING,MS SIEW GEOK LING (SHAO YULING),na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.32980598760785,103.931710293058,307 BEDOK NORTH ROAD FENGSHAN PRIMARY SCHOOL SINGAPORE 469680
FERN GREEN PRIMARY SCHOOL,70 Fernvale Link   Fern Green Primary School,797538,68343116,na,ferngreen_ps@moe.edu.sg,Kupang LRT Station (SW3),"85, 102",na,MADAM KYLICIA SOO GEOK LING,MISS CHOW CHIA MIN AGNES,"MADAM QUEK HWEE PENG, ANDREA (GUO HUIPING, ANDREA)",na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.39726966050479,103.880330305684,70 FERNVALE LINK FERN GREEN PRIMARY SCHOOL SINGAPORE 797538
FERNVALE PRIMARY SCHOOL,1 Fernvale Lane   ,797701,63153067,na,fernvale_ps@moe.edu.sg,Fernvale LRT (Sengkang West Loop),"Along Sengkang West Ave - Bus Services 50, 163; Along Yio Chu Kang Road - Bus Services 70, 86, 103 and 854.",MR LAU ENOCH,MISS YAP AI LI,MR RAMESH MUKUNDHAN,MR KEVIN PATT,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.39030227963797,103.874445458032,1 FERNVALE LANE FERNVALE PRIMARY SCHOOL SINGAPORE 797701
FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH   ,319252,62561102,na,FTPPS@MOE.EDU.SG,Braddell & Toa Payoh Stations,"157,153,105,159,88,FS238",MADAM JENNIFER HAN ENG JUAN,MR KOH PENG YEOW,MS TAY YAM ENG,na,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.34032299499938,103.855529906182,7 LORONG 8 TOA PAYOH FIRST TOA PAYOH PRIMARY SCHOOL SINGAPORE 319252
FRONTIER PRIMARY SCHOOL,20 Jurong West Street 61   ,648200,67908596,na,frontier_ps@moe.edu.sg,Pioneer MRT Station (EW28),"241, 974, 179",MADAM LEE YEW KOON TONNINE,MADAM CHAN YEE CHIN WILNA,MADAM WONG SHI-LEI,MR ANG BOON CHIN,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.33641298743234,103.69970173931,20 JURONG WEST STREET 61 FRONTIER PRIMARY SCHOOL SINGAPORE 648200
FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1   ,739063,63670117,na,FCPS@MOE.EDU.SG,Marsiling,"187,856,912,925,950,960,961,963,963E,963R,966",MADAM EUNICE LIM,MR SUDHESH VASU DASH,MR TAN CHIN KEE,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.43047990810126,103.778192944298,23 WOODLANDS AVENUE 1 FUCHUN PRIMARY SCHOOL SINGAPORE 739063
FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13   ,609647,65639542,na,FHPS@MOE.EDU.SG,JURONG EAST MRT STATION,"JURONG EAST CENTRAL (BS28441): 41,49,52,105,160,160A,160M,176,183,334,506; JURONG EAST CENTRAL (BS28431):51,66,78,79,143, 143M, 176, 335",MR GANESAN S/O RAMAN,MADAM SEOW SWEE NEO CHRISTINA,MS SAIMA HANIF D/O MOHAMED HANIF,na,na,na,na,JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.33659726465816,103.736089481883,65 JURONG EAST STREET 13 AMP-MERCU STUDENT CARE CENTRE @ FUHUA PRIMARY SCHOOL SINGAPORE 609647
FUHUA SECONDARY SCHOOL,5 JURONG WEST STREET 41   ,649410,65634379,na,FHSS@MOE.EDU.SG,"CHINESE GARDEN MRT, LAKESIDE MRT","49, 98, 99, 157, 180, 185, 187, 198, 334, 335, 502, 657",MRS LIM CAROL,MR CHNG PUAY KEONG,MISS PEH LEE CHIN,na,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.34701408913756,103.72652089832,5 JURONG WEST STREET 41 FUHUA SECONDARY SCHOOL SINGAPORE 649410
GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE   ,158901,64794152,na,GESPS@MOE.EDU.SG,Redhill,"14, 63, 147, 196, 197, 855, 961","MR LEE WEI YAP, ROY",MR KYAW SAW LYNN,MADAM WONG SEOK GHEE,na,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.28559516494962,103.815547410064,100 REDHILL CLOSE GAN ENG SENG PRIMARY SCHOOL SINGAPORE 158901
GAN ENG SENG SCHOOL,1 HENDERSON ROAD   ,159561,64732479,na,GESS@MOE.EDU.SG,"REDHILL MRT, TIONG BAHRU MRT","14, 16, 32, 33, 51, 63, 64, 120, 122, 145, 139, 186, 851, 970",MISS TAN HWEE PIN,MADAM SARAWATHY D/O VARADARAJU,MR TAN TZE JWEE GLYNN,MR GOH THYE HENG,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.28559516494962,103.815547410064,100 REDHILL CLOSE GAN ENG SENG PRIMARY SCHOOL SINGAPORE 158901
GEYLANG METHODIST SCHOOL (PRIMARY),4 Geylang East Central   ,389706,67488980,na,GMPS@MOE.EDU.SG,Aljunied,"80, 134, 155",MADAM LEONG BENG YUET DAPHNE,MR LUA EE PING,MADAM SHARON CHANTALE KOK YENG LING,na,na,na,na,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.31759126757284,103.883845744916,4 GEYLANG EAST CENTRAL GEYLANG METHODIST SCHOOL (PRIMARY) SINGAPORE 389706
GEYLANG METHODIST SCHOOL (SECONDARY),2 GEYLANG EAST CENTRAL   ,389705,67477317,na,GMSS@MOE.EDU.SG,ALJUNIED MRT,"40, 62, 63, 80, 100, 125, 134, 155, 158",MR OWYONG TUCK SING VICTOR,MR JOHN WU YIFAN,MISS TAY HUI CHENG,na,na,na,na,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.31764900474601,103.882661129303,2 GEYLANG EAST CENTRAL GEYLANG METHODIST SCHOOL (SECONDARY) SINGAPORE 389705
GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42   ,529176,67880004,na,GSPS@MOE.EDU.SG,Tampines (Downtown Line and East West Line) and Tampines East (Downtown Line),"4, 8, 18, 19, 21, 37, 38, 81, 293",MRS STELLA KWAN,MDM NORA BTE OSMAN,MRS YIO YEN LING SELINA,MR FONG WAI KHIN,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.35711606790292,103.949144797277,1 TAMPINES STREET 42 COMMIT LEARNING SCHOOLHOUSE @ GONGSHANG PRIMARY SCHOOL SINGAPORE 529176
GREENDALE PRIMARY SCHOOL,50 Edgedale Plains   ,828848,68861419,na,greendale_ps@moe.edu.sg,Punggol LRT:  Coral Edge,"3,62, 83, 85, 386",MADAM NOORISMAWATY BTE ISMAIL,MR SIM CHIN BENG WILSON,MR CHING KIN HIN,na,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.39648195114256,103.91233462071,50 EDGEDALE PLAINS GREENDALE PRIMARY SCHOOL SINGAPORE 828848
GREENDALE SECONDARY SCHOOL,51 EDGEDALE PLAINS   ,828866,63158420,na,greendale_ss@moe.edu.sg,"PUNGGOL MRT, MERIDIAN LRT","3, 62, 83, 85, 136, 386",MR SULAIMAN B MOHAMAD YUSOF,MRS YU WEN YEN ANNE MRS ANNE CHAN,MR CHIA KENG HWEE,na,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.39696019936894,103.91170014084,51 EDGEDALE PLAINS GREENDALE SECONDARY SCHOOL SINGAPORE 828866
GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD   ,677744,67620189,na,GRPS@MOE.EDU.SG,"Senja LRT station, Jelapang LRT Station","Bus 920, 922, 972",MADAM ONG FEI MIN,MR WONG SUNG LAI,MR ANG KONG BENG ANDY,na,na,na,na,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.3858892193692,103.767794469258,11 JELAPANG ROAD GREENRIDGE PRIMARY SCHOOL SINGAPORE 677744
GREENRIDGE SECONDARY SCHOOL,31 Gangsa Road   ,678972,na,na,GRSS@MOE.EDU.SG,"Bukit Panjang MRT, Bukit Panjang LRT, Petir LRT","65, 75, 170, 170A, 171, 176, 177, 178, 180, 180A, 920, 922, 960, 961, 963, 963E, 963R, 970, 972, 972A, 972, 972A, 972M, 973, 973A, 974, 975, 976, 979, 983",MR NG BOON KIAT,MRS DALINA BTE ABDULLAH,MR NGOH SING KIEN,na,na,na,na,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.375600053,103.763998914082,31 GANGSA ROAD GREENRIDGE SECONDARY SCHOOL SINGAPORE 678972
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS  DR  62   ,737942,63666159,na,GREENWOOD_PS@MOE.EDU.SG,Admiralty MRT Station,"912, 913, 962",MADAM TANG PEI LU TRICILIA,MR KIRUPANANTHA KUMAR S/O PALAIYAN,MR LEE HUAN SIAK,MR TAN KAR WEE,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.43989958331782,103.804725587384,11 WOODLANDS DRIVE 62 GREENWOOD PRIMARY SCHOOL SINGAPORE 737942
GUANGYANG SECONDARY SCHOOL,8 BISHAN STREET 12   ,579807,63543108,na,GYSS@MOE.EDU.SG,BISHAN MRT,"13, 56, 57, 59, 71, 88, 93, 157, 163, 410",MISS TAN KE XIN,MR HAN WEE FONG (HAN WEIFENG),MISS WU XINPING JENNIFER,MR ANBALAGAN S/O THANGARAJAH,na,na,na,BISHAN,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.34440856042912,103.850208933626,8 BISHAN STREET 12 GUANGYANG SECONDARY SCHOOL SINGAPORE 579807
HAI SING CATHOLIC SCHOOL,15 PASIR RIS STREET 21   ,518969,65822543,na,HSHS@MOE.EDU.SG,PASIR RIS MRT,"3, 5, 6, 89, 109",MISS LIM MUI MUI ADELINE,MISS SHEREEN WONG MINGRUI,"MADAM TAN PHUAY BOON, GWEN",MR KONG WEI FOONG,na,na,na,PASIR RIS,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.36933055696636,103.962762942764,15 PASIR RIS STREET 21 HAI SING CATHOLIC SCHOOL (TILL 31 DEC 2025) SINGAPORE 518969
HAIG GIRLS' SCHOOL,51 Koon Seng Road   ,427072,64474169,na,HAIGGIRLSSCH@MOE.EDU.SG,"Eunos, Dakota","16,33",MS MARION DONNE TAY SZE LENG (ZHENG SHILING),MADAM GOH SWEE LIN EVELYN,MISS SEAH XIAO YUN SHERLYN,na,na,na,na,GEYLANG,EAST,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.31194344271383,103.902902557195,51 KOON SENG ROAD HAIG GIRLS' SCHOOL SINGAPORE 427072
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD   ,278790,64691840,na,HPPS@MOE.EDU.SG,"Buona Vista MRT, Clementi MRT","7, 61, 75, 156, 157, 165, 92",MR CHAN GEOK ANN CHARLES,MR CHUA CHYE HOCK,MRS JEAN TOH,MISS REGINA KIM LEE HOON,na,na,na,BUKIT TIMAH,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,CHINESE,MALAY,TAMIL,1.31667646178347,103.784296227747,1 HOLLAND GROVE ROAD HENRY PARK PRIMARY SCHOOL SINGAPORE 278790
HILLGROVE SECONDARY SCHOOL,10 BUKIT BATOK STREET 52   ,659250,65630920,na,HILLGROVE_SS@MOE.EDU.SG,"BUKIT BATOK MRT, BUKIT GOMBAK MRT","176, 985, 945",MADAM LEE CHING GUAN HELEN,MR ADAM BIN AHMAD,CHIANG HOCK YEE,na,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.35273576615912,103.752986488399,10 BUKIT BATOK STREET 52 HILLGROVE SECONDARY SCHOOL SINGAPORE 659250
HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD   ,534786,62831737,na,HIHS@MOE.EDU.SG,HOUGANG MRT,"27, 72, 74, 80, 87, 89, 101, 107, 113, 116, 119, 132, 136, 147, 153, 161, 165, 324, 325",MRS REBECCA CHEW,MISS CAROL ANN MARTIN,"MR TEO HAN WOON, DENNIS",MADAM ONG LEE LEE,na,na,na,HOUGANG,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.37154508822261,103.896398814264,1191 UPPER SERANGOON ROAD HOLY INNOCENTS' HIGH SCHOOL SINGAPORE 534786
HOLY INNOCENTS' PRIMARY SCHOOL,5 Lorong Low Koon   ,536451,62876393,na,HOLYINNOCENT@MOE.EDU.SG,2km walk to Hougang MRT,"51,72,80,101,119,132,136,153.",MISS SEET ENG GEOK LENA,MADAM TOO SIEW HAN JOYCE,MADAM GOH HUI CHENG,MR NG CHEONG ANN,na,na,na,HOUGANG,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,CHINESE,na,na,1.36693830877349,103.894114899795,5 LORONG LOW KOON HOLY INNOCENTS' PRIMARY SCHOOL SINGAPORE 536451
HONG WEN SCHOOL,30 TOWNER ROAD   ,327829,62937625,na,HWS@MOE.EDU.SG,Boon Keng MRT,"Serangoon Road: 13, 23, 31, 64, 65, 66, 125, 133, 147, 857, 985; Balestier Road: 21, 125, 130, 139, 145",MRS THERESA HONG-NG,MR ONG SZE CHONG,MISS TEO AI LIN,MADAM CHRISTINE POON TZE MEI,na,na,na,KALLANG,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,CHINESE,na,na,1.32175999964553,103.857628468881,30 TOWNER ROAD HONG WEN SCHOOL SINGAPORE 327829
